         5600 function calls (5447 primitive calls) in 21.623 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       52    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:249(match)
        4    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
       20    0.000    0.000    0.000    0.000 /usr/lib/python3.8/os.py:693(__iter__)
       32    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:286(tell)
       16    0.000    0.000    0.000    0.000 /usr/lib/python3.8/enum.py:283(__call__)
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.8/subprocess.py:1054(_remaining_time)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/click/_compat.py:574(should_strip_ansi)
       10    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:249(_compile_charset)
       66    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       68    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       68    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        5    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/click/globals.py:7(get_current_context)
       20    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:1405(setLevel)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:1047(__init__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:914(format)
       62    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/click/_compat.py:435(get_text_stdout)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/click/_compat.py:658(isatty)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:1360(_clear_cache)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:858(__init__)
       23    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:81(groups)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:84(opengroup)
       13    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:355(_escape)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/jinja2/_compat.py:91(__new__)
       53    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:651(format)
       10    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/click/_compat.py:377(_force_correct_text_writer)
       10    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/click/_compat.py:271(is_bytes)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:2006(getLogger)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/socket.py:219(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:1272(getLogger)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:224(__init__)
        5    0.000    0.000    0.000    0.000 {method 'isatty' of '_io.TextIOWrapper' objects}
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.8/socket.py:97(_intenum_converter)
       15    0.000    0.000    0.000    0.000 /usr/lib/python3.8/posixpath.py:41(_get_sep)
       30    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:111(__init__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:1502(findCaller)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/posixpath.py:60(isabs)
       32    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       30    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/subprocess.py:1097(_close_pipe_fds)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/click/termui.py:372(style)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_collections_abc.py:664(__contains__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/signal.py:45(signal)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/encodings/idna.py:300(getregentry)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:1058(flush)
       22    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.8/weakref.py:419(get)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        8    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       10    0.000    0.000    0.000    0.000 {built-in method time.monotonic}
       38    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/socket.py:512(family)
       18    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:461(_get_literal_prefix)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/posixpath.py:150(dirname)
        1    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
       16    0.000    0.000    0.000    0.000 /usr/lib/python3.8/enum.py:562(__new__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
       10    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:595(isstring)
        1    0.000    0.000    0.000    0.000 {method 'listen' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/codeop.py:62(<listcomp>)
       11    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       28    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       31    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/abc.py:96(__instancecheck__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1107(exec_module)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/posixpath.py:117(splitext)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:887(createLock)
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/jinja2/environment.py:60(create_cache)
        2    0.000    0.000    0.000    0.000 {method 'getsockname' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/debug/__init__.py:220(DebuggedApplication)
        7    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       10    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        6    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/os.py:678(__setitem__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/encodings/__init__.py:43(normalize_encoding)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:492(_get_charset_prefix)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/posixpath.py:140(basename)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:214(_acquireLock)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/random.py:94(__init__)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:921(fix_flags)
       13    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:432(_uniq)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:635(formatMessage)
        1    0.000    0.000    0.000    0.000 {method 'getpeername' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/encodings/idna.py:147(encode)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:223(_releaseLock)
        1    0.000    0.000    0.000    0.000 {built-in method posix.readlink}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:244(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/click/_compat.py:324(_stream_is_misconfigured)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/abc.py:100(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/jinja2/utils.py:318(__init__)
        1    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/debug/repr.py:111(DebugReprGenerator)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:1677(isEnabledFor)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/click/_compat.py:282(_is_binary_writer)
       12    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/click/_compat.py:688(<lambda>)
       21    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/codecs.py:94(__new__)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:894(acquire)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/subprocess.py:1706(_handle_exitstatus)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:629(usesTime)
        4    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:434(format)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/socket.py:532(set_inheritable)
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        7    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:839(_addHandlerRef)
       20    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_collections_abc.py:672(keys)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
        5    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        9    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/genericpath.py:121(_splitext)
       10    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/contextlib.py:482(__exit__)
        1    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/serving.py:867(is_running_from_reloader)
        1    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/debug/tbtools.py:451(Frame)
